번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부
12,숙박업,03_11_03_P,3250000,3250000-201-1981-00092,1981-07-08,,1,영업/정상,1,영업,,,,,051 2467314,265,600-022,부산광역시 중구 동광동2가 17-14 외2필지,부산광역시 중구 중앙대로41번길 29-1 (동광동2가),48951,(주)부산타워 게스트하우스,2022-11-07 16:23,U,2022-11-09 2:40,숙박업 기타,385405.8744,179804.4154,숙박업 기타,0,0,0,0,0,0,2,12,,,,임대,0,0,N
13,숙박업,03_11_03_P,3250000,3250000-201-1960-00077,1960-11-28,,1,영업/정상,1,영업,,,,,051 4698886,72,600-811,부산광역시 중구 영주동 29-2번지,부산광역시 중구 초량중로6번길 17 (영주동),48911,양지장,2018-11-15 11:03,U,2018-11-17 2:36,여관업,385642.869,181175.6112,여관업,0,0,0,0,0,0,0,10,,,,,,,N
14,숙박업,03_11_03_P,3250000,3250000-201-1993-00070,1993-08-06,,1,영업/정상,1,영업,,,,,051 4419988,416.7,600-811,부산광역시 중구 영주동 625-1번지,부산광역시 중구 대영로242번길 22 (영주동),48923,스카이-힐,2018-11-13 10:07,U,2018-11-15 2:35,여관업,385604.341,180901.3371,여관업,0,0,0,0,0,0,0,19,,,,임대,,,N
15,숙박업,03_11_03_P,3250000,3250000-201-1983-00130,1983-02-10,,1,영업/정상,1,영업,,,,,051 4629114,333.69,600-102,부산광역시 중구 대창동2가 40-14번지,부산광역시 중구 동광길 184 (대창동2가),48924,천우장,2019-12-12 16:42,U,2019-12-14 2:40,여관업,385665.6056,180952.0668,여관업,0,0,0,0,0,0,0,15,,,,자가,,,N
16,숙박업,03_11_03_P,3250000,3250000-201-1973-00124,1973-07-10,,1,영업/정상,1,영업,,,,,051 4694919,283.5,600-025,부산광역시 중구 동광동5가 44-27번지,부산광역시 중구 동광길 53 (동광동5가),48927,화춘장,2019-12-03 9:11,U,2019-12-05 2:40,여관업,385436.9156,180343.3263,여관업,0,0,0,0,0,0,0,13,,,,임대,,,N
17,숙박업,03_11_03_P,3250000,3250000-201-1989-00136,1989-11-28,,1,영업/정상,1,영업,,,,,051 2475577,366.31,600-805,부산광역시 중구 부평동1가 41-10번지,부산광역시 중구 광복로16번길 18 (부평동1가),48980,그랜드장모텔,2019-07-24 13:30,U,2019-07-26 2:40,여관업,384726.0268,179618.7144,여관업,0,0,0,0,0,0,4,16,,,,자가,,,N
18,숙박업,03_11_03_P,3250000,3250000-201-2007-00002,2007-07-12,,1,영업/정상,1,영업,,,,,051231 1178,801.32,600-046,부산광역시 중구 남포동6가 29 (8~11층),부산광역시 중구 자갈치로 21 (남포동6가),48982,오션투헤븐 호텔&스파,2021-01-28 14:52,U,2021-01-30 2:40,일반호텔,384732.0844,179391.5282,일반호텔,10,1,8,11,0,0,0,25,,,,자가,,,N
19,숙박업,03_11_03_P,3250000,3250000-201-1971-00117,1971-03-15,,1,영업/정상,1,영업,,,,,051245 3605,62.44,600-033,부산광역시 중구 광복동3가 5-20,부산광역시 중구 광복로67번길 30-22 (광복동3가),48949,동산장모텔,2023-01-25 15:49,U,2023-01-27 2:40,여관업,385172.9245,179777.7992,여관업,3,0,0,0,0,0,8,4,,,,,,,N
20,숙박업,03_11_03_P,3250000,3250000-201-1972-00003,1972-10-10,,1,영업/정상,1,영업,,,,,051 2464361,2398.21,600-045,부산광역시 중구 남포동5가 81-1,부산광역시 중구 자갈치로47번길 3-1 (남포동5가),48983,주식회사 경원건설 호텔노아,2022-03-08 14:27,U,2022-03-10 2:40,관광호텔,384966.2839,179482.3366,관광호텔,9,1,1,9,0,0,0,51,,,,자가,0,0,N
21,숙박업,03_11_03_P,3250000,3250000-201-2014-00003,2014-05-28,,1,영업/정상,1,영업,,,,,051 231 3123,1803.52,600-023,부산광역시 중구 동광동3가 31-1 외 1필지,부산광역시 중구 대청로126번길 9 (동광동3가),48951,더 하운드 호텔,2020-12-07 14:09,U,2020-12-09 2:40,일반호텔,385385.3405,180001.2204,일반호텔,8,0,1,8,0,0,0,37,,,,자가,,,N
22,숙박업,03_11_03_P,3250000,3250000-201-1991-00069,1991-09-30,,1,영업/정상,1,영업,,,,,051256 3338,2343,600-809,부산광역시 중구 부평동3가 63-1,부산광역시 중구 흑교로21번길 7 (부평동3가),48975,투 헤븐 호텔,2023-10-26 11:20,U,2023-10-28 2:40,일반호텔,384505.7772,179903.5275,일반호텔,0,0,1,8,0,0,0,48,,,,자가,0,0,N
23,숙박업,03_11_03_P,3250000,3250000-201-2008-00001,2008-04-11,,1,영업/정상,1,영업,,,,,051442 1045,10241.96,600-101,"부산광역시 중구 대창동1가 22-4 , 23-19","부산광역시 중구 중앙대로 125 (대창동1가, 22-4, 23-19)",48924,토요코인 부산중앙역,2023-07-04 10:20,U,2023-07-06 2:40,관광호텔,385610.7734,180783.8595,관광호텔,23,2,1,23,0,0,0,491,,,,임대,0,0,N
24,숙박업,03_11_03_P,3250000,3250000-201-2017-00002,2017-02-13,,1,영업/정상,1,영업,,,,,051 242 2200,3978.15,600-045,부산광역시 중구 남포동5가 8-1번지,부산광역시 중구 구덕로 54-1 (남포동5가),48953,(주)아이에이치엠 호텔포레 프리미어 남포지점,2017-11-23 16:35,I,2018-08-31 23:59,일반호텔,385007.0179,179584.9839,일반호텔,16,2,4,14,0,0,0,107,,,,임대,0,0,N
25,숙박업,03_11_03_P,3250000,3250000-201-2014-00001,2014-03-18,,1,영업/정상,1,영업,,,,,051 260 5007,3237.71,600-051,부산광역시 중구 창선동1가 12-1,부산광역시 중구 광복로39번길 6 (창선동1가),48947,호텔아벤트리부산,2025-06-11 15:58,U,2025-06-13 2:40,일반호텔,384993.6601,179733.7553,일반호텔,8,4,6,8,0,0,0,81,,,,자가,0,0,N
26,숙박업,03_11_03_P,3250000,3250000-201-2016-00004,2016-07-07,,1,영업/정상,1,영업,,,,,051 243 0076,1797.45,600-022,부산광역시 중구 동광동2가 11-6번지,부산광역시 중구 대청로126번길 36 (동광동2가),48951,엠유,2018-12-12 13:12,U,2018-12-14 2:40,일반호텔,385416.8685,179762.8906,일반호텔,8,0,1,8,0,0,0,41,,,,자가,,,N
27,숙박업,03_11_03_P,3250000,3250000-201-2017-00004,2017-04-25,,1,영업/정상,1,영업,,,,,051 245 4226,892.92,600-804,부산광역시 중구 부평동1가 30-19 외 1필지,부산광역시 중구 부평2길 20-8 (부평동1가),48978,하루애 호텔,2024-11-26 15:09,U,2024-11-28 2:40,여관업,384743.9081,179784.4538,여관업,7,0,1,7,0,0,0,26,,,,,0,0,N
28,숙박업,03_11_03_P,3250000,3250000-201-2016-00005,2016-07-11,,1,영업/정상,1,영업,,,,,051 243 5555,6316.44,600-808,부산광역시 중구 부평동3가 40-5,부산광역시 중구 흑교로 19 (부평동3가),48976,지엔비 호텔,2023-05-18 14:27,U,2023-05-20 2:40,일반호텔,384554.1249,179893.4401,일반호텔,0,0,1,10,0,0,0,102,,,,,0,0,N
29,숙박업,03_11_03_P,3250000,3250000-201-2015-00004,2015-06-29,,1,영업/정상,1,영업,,,,,051  2450055,1952.45,600-031,부산광역시 중구 광복동1가 33,부산광역시 중구 광복로97번안길 5 (광복동1가),48952,WA(와)호텔,2024-11-12 16:02,U,2024-11-14 2:40,일반호텔,385486.6761,179669.1711,일반호텔,0,0,1,8,0,0,0,41,,,,,0,0,N
30,숙박업,03_11_03_P,3250000,3250000-201-2017-00003,2017-03-27,,1,영업/정상,1,영업,,,,,,60.65,600-811,부산광역시 중구 영주동 20-10번지,부산광역시 중구 초량중로 8-1 (영주동),48911,책앤아웃 호스텔,2018-07-09 16:27,I,2018-08-31 23:59,관광호텔,385580.1904,181198.1507,관광호텔,4,1,2,2,0,0,0,2,,,,,0,0,N
31,숙박업,03_11_03_P,3250000,3250000-201-2010-00001,2010-12-31,,1,영업/정상,1,영업,,,,,051 2578255,2955.93,600-808,부산광역시 중구 부평동3가 52-2 외 1필지 (51-1),"부산광역시 중구 흑교로 7 (부평동3가, 외 1필지(51-1))",48976,호텔보브,2023-06-30 13:01,U,2023-07-02 2:40,일반호텔,384548.6191,179777.3221,일반호텔,0,0,0,0,0,0,0,46,,,,,0,0,N
32,숙박업,03_11_03_P,3250000,3250000-201-1968-00022,1968-02-16,,1,영업/정상,1,영업,,,,,051 4697001,150,600-014,"부산광역시 중구 중앙동4가 55-4 ,11","부산광역시 중구 해관로 76-1 (중앙동4가, 55-4,11)",48929,런던커,2025-02-04 15:04,U,2025-02-06 2:40,여관업,385525.4843,180410.1598,여관업,0,0,0,0,0,0,7,11,,,,임대,0,0,N
33,숙박업,03_11_03_P,3250000,3250000-201-2012-00006,2012-12-26,,1,영업/정상,1,영업,,,,,051 2463641,1943.67,600-045,부산광역시 중구 남포동5가 46 외 1필지,"부산광역시 중구 자갈치로47번길 5-6 (남포동5가, 외 1필지)",48983,모텔 갤러리 지,2024-09-30 14:47,U,2024-10-02 2:40,여관업,384935.0965,179494.0364,여관업,6,1,1,6,1,1,2,40,,,,자가,,,N
34,숙박업,03_11_03_P,3250000,3250000-201-1980-00017,1980-10-18,,1,영업/정상,1,영업,,,,,051 2460986,700.6,600-046,부산광역시 중구 남포동6가 115-7번지,부산광역시 중구 자갈치로 17 (남포동6가),48982,태양장,2019-07-02 11:09,U,2019-07-04 2:40,여관업,384696.295,179379.7773,여관업,0,0,0,0,0,0,6,13,,,,임대,,,N
35,숙박업,03_11_03_P,3250000,3250000-201-2017-00006,2017-08-10,,1,영업/정상,1,영업,,,,,051244 0088,1619.94,600-092,부산광역시 중구 대청동2가 30-17 1~8층,부산광역시 중구 용두산길 12 (대청동2가),48949,호텔콘트,2025-07-03 13:43,U,2025-07-05 2:40,일반호텔,385154.1204,179975.1901,일반호텔,8,1,1,8,0,0,0,39,,,,,0,0,N
36,숙박업,03_11_03_P,3250000,3250000-201-2017-00007,2017-08-14,,1,영업/정상,1,영업,,,,,051 7957700,4437.88,600-045,부산광역시 중구 남포동5가 56-1,"부산광역시 중구 구덕로 53, 2~15층 (남포동5가)",48983,스탠포드호텔 부산,2023-07-04 10:21,U,2023-07-06 2:40,관광호텔,385027.1853,179533.7497,관광호텔,15,2,2,15,0,0,0,132,,,,,0,0,N
37,숙박업,03_11_03_P,3250000,3250000-201-2017-00008,2017-08-25,,1,영업/정상,1,영업,,,,,,341.53,600-022,부산광역시 중구 동광동2가 11-46번지,부산광역시 중구 대청로126번길 34 (동광동2가),48951,비엔비 펜션(BnB),2019-04-25 13:59,U,2019-04-27 2:40,숙박업 기타,385424.7068,179773.8209,숙박업 기타,5,1,2,5,0,0,1,10,,,,,0,0,N
38,숙박업,03_11_03_P,3250000,3250000-201-1980-00091,1980-11-27,,1,영업/정상,1,영업,,,,,051246 3811,287.1,600-046,부산광역시 중구 남포동6가 70-1,부산광역시 중구 구덕로 80-1 (남포동6가),48981,보성모텔,2025-10-13 14:12,U,2025-10-15 2:40,여관업,384753.1996,179507.3051,여관업,4,1,2,4,0,0,0,18,,,,자가,0,0,N
39,숙박업,03_11_03_P,3250000,3250000-201-2013-00004,2013-12-19,,1,영업/정상,1,영업,,,,,,397.6,600-022,부산광역시 중구 동광동2가 10-4 외1필지,부산광역시 중구 광복로85번길 15-1 (동광동2가),48951,엘레펀트,2025-01-08 14:36,U,2025-01-11 2:40,숙박업 기타,385462.9033,179747.7801,숙박업 기타,4,1,3,4,0,0,0,14,,,,임대,0,0,N
40,숙박업,03_11_03_P,3250000,3250000-201-1977-00086,1977-12-10,,1,영업/정상,1,영업,,,,,051 2461560,354.38,600-045,부산광역시 중구 남포동5가 89번지,부산광역시 중구 자갈치로47번길 5-15 (남포동5가),48983,부국모텔,2019-12-17 11:35,U,2019-12-19 2:40,여관업,384913.0736,179466.1458,여관업,0,0,0,0,0,0,9,10,,,,임대,,,N
41,숙박업,03_11_03_P,3250000,3250000-201-2014-00005,2014-10-22,,1,영업/정상,1,영업,,,,,051 911 0051,480.48,600-031,부산광역시 중구 광복동1가 5-2,부산광역시 중구 광복로85번길 12 (광복동1가),48952,꼬모쉐 부산 남포점,2024-10-31 10:02,U,2024-11-02 2:40,여관업,385443.5696,179703.7624,여관업,5,1,3,5,0,0,0,25,,,,임대,2,3,N
42,숙박업,03_11_03_P,3250000,3250000-201-1960-00078,1960-11-21,,1,영업/정상,1,영업,,,,,051 4694115,126,600-811,부산광역시 중구 영주동 639-2번지,부산광역시 중구 대영로242번길 18-7 (영주동),48923,더로찌,2019-06-17 9:48,U,2019-06-19 2:40,여관업,385597.2571,180942.7506,여관업,0,0,0,0,0,0,2,15,,,,,,,N
43,숙박업,03_11_03_P,3250000,3250000-201-1977-00085,1977-12-01,,1,영업/정상,1,영업,,,,,051 2462066,76.55,600-045,부산광역시 중구 남포동5가 58-1번지,부산광역시 중구 자갈치로59번길 5-22,48983,삼원장,2019-07-09 17:59,U,2019-07-11 2:40,여관업,385046.391,179528.6507,여관업,0,0,0,0,0,0,4,9,,,,임대,,,N
44,숙박업,03_11_03_P,3250000,3250000-201-1970-00098,1970-01-19,,1,영업/정상,1,영업,,,,,051 2567090,75.79,600-046,부산광역시 중구 남포동6가 93-4번지,부산광역시 중구 중구로5번길 10 (남포동6가),48981,그린 힐,2018-07-27 17:01,I,2018-08-31 23:59,여관업,384773.0375,179551.7042,여관업,0,0,0,0,0,0,5,8,,,,자가,,,N
45,숙박업,03_11_03_P,3250000,3250000-201-2004-00001,2004-12-07,,1,영업/정상,1,영업,,,,,051 2442860,1213.5,600-042,"부산광역시 중구 남포동2가 25-10 (11,12층)","부산광역시 중구 구덕로34번길 4, 11,12층 (남포동2가)",48954,호텔 린,2023-01-04 15:10,U,2023-01-07 2:40,여관업,385243.1585,179580.2952,여관업,13,2,11,12,0,0,0,27,,,,임대,0,0,N
46,숙박업,03_11_03_P,3250000,3250000-201-1971-00043,1971-06-26,,1,영업/정상,1,영업,,,,,051 2457381,0,600-022,부산광역시 중구 동광동2가 12-20번지,부산광역시 중구 대청로126번길 29 (동광동2가),48951,동산여인숙,2019-12-20 14:20,U,2019-12-22 2:40,여인숙업,385434.2915,179809.8458,여인숙업,0,0,0,0,0,0,10,0,,,,임대,,,N
47,숙박업,03_11_03_P,3250000,3250000-201-1997-00143,1997-01-30,,1,영업/정상,1,영업,,,,,051 2459939,342.41,600-805,부산광역시 중구 부평동1가 41-6,부산광역시 중구 광복로12번길 3-2 (부평동1가),48980,마이스테이 남포,2025-11-24 11:54,U,2025-11-26 2:40,여관업,384716.3345,179653.819,여관업,0,0,0,0,0,0,2,16,,,,임대,0,0,N
48,숙박업,03_11_03_P,3250000,3250000-201-2015-00003,2015-05-14,,1,영업/정상,1,영업,,,,,070 77171358,226.62,600-016,부산광역시 중구 중앙동6가 70-1 주경빌딩 701호,"부산광역시 중구 중앙대로 24, 7층 701호 (중앙동6가, 주경빌딩)",48942,스테이 가온,2025-01-15 9:05,U,2025-01-18 2:40,숙박업 기타,385662.2772,179743.4025,숙박업 기타,10,0,7,7,0,0,0,10,,,,임대,0,1,N
49,숙박업,03_11_03_P,3250000,3250000-214-2016-00001,2016-10-26,,1,영업/정상,1,영업,,,,,051 231 2313,458.19,600-033,부산광역시 중구 광복동3가 5-51,부산광역시 중구 광복로67번길 30-13 (광복동2가),,이지스테이(EZSTAY),2023-06-27 14:11,U,2023-06-29 2:40,숙박업(생활),385166.6201,179745.0755,숙박업(생활),5,0,3,5,0,0,0,19,,,,임대,0,0,N
50,숙박업,03_11_03_P,3250000,3250000-201-1990-00026,1990-08-31,,1,영업/정상,1,영업,,,,,051 2486683,552.5,600-023,부산광역시 중구 동광동3가 8-1,부산광역시 중구 대청로134번길 8 (동광동3가),48955,태양스테이(모텔) 남포중앙점,2025-09-24 14:21,U,2025-09-26 2:40,여관업,385440.1344,180017.1836,여관업,0,0,0,0,0,0,3,18,,,,임대,,,N
51,숙박업,03_11_03_P,3250000,3250000-201-2002-00008,2002-12-02,,1,영업/정상,1,영업,,,,,051 2414008,1691.81,600-023,부산광역시 중구 동광동3가 46,부산광역시 중구 대청로126번길 22 (동광동3가),48951,호텔엘리제,2023-07-21 15:35,U,2023-07-23 2:40,일반호텔,385389.2248,179885.6265,일반호텔,2,0,0,0,0,0,3,38,,,,,0,0,N
52,숙박업,03_11_03_P,3250000,3250000-201-2001-00001,2001-08-16,,1,영업/정상,1,영업,,,,,051 2540217,1260,600-022,부산광역시 중구 동광동2가 11-10,부산광역시 중구 대청로126번길 33 (동광동2가),48951,더휴식 아늑 부산남포점,2022-12-26 11:49,U,2022-12-28 2:40,일반호텔,385445.014,179762.7826,일반호텔,8,0,1,7,0,0,0,35,,,,자가,0,0,N
53,숙박업,03_11_03_P,3250000,3250000-201-1978-00004,1978-11-06,,1,영업/정상,1,영업,,,,,051 4669101,0,600-811,부산광역시 중구 영주동 742-13,부산광역시 중구 중구로 151 (영주동),48912,주식회사 코모도호텔,2023-10-26 11:19,U,2023-10-28 2:40,관광호텔,385475.5431,180776.201,관광호텔,0,0,0,0,0,0,10,302,,,,자가,0,0,N
54,숙박업,03_11_03_P,3250000,3250000-201-2015-00007,2015-10-07,,1,영업/정상,1,영업,,,,,051 243 9991,492.9,600-023,부산광역시 중구 동광동3가 47-4,부산광역시 중구 중앙대로41번길 24 (동광동3가),48951,폭시호텔,2025-09-23 13:37,U,2025-09-25 2:40,여관업,385373.5935,179876.9394,여관업,0,0,1,5,0,0,0,19,,,,,0,0,N
55,숙박업,03_11_03_P,3250000,3250000-201-1967-00052,1967-04-13,,1,영업/정상,1,영업,,,,,051 4696088,95,600-093,부산광역시 중구 대청동3가 6-3,부산광역시 중구 중구로62번길 6 (대청동3가),48933,로얄장,2022-11-18 12:48,U,2022-11-20 2:40,여관업,384905.9237,180117.3858,여관업,0,0,0,0,0,0,10,3,,,,,0,0,N
56,숙박업,03_11_03_P,3250000,3250000-201-2017-00009,2017-09-05,,1,영업/정상,1,영업,,,,,051 2432900,1013.96,600-041,부산광역시 중구 남포동1가 35-1 2~8층,"부산광역시 중구 용미길9번길 6-9, 2~8층 (남포동1가)",48984,호텔 모모,2023-01-16 11:16,U,2023-01-18 2:40,일반호텔,385535.0264,179412.6427,일반호텔,8,1,2,8,0,0,2,33,,,,,0,0,N
57,숙박업,03_11_03_P,3250000,3250000-201-1987-00067,1987-07-24,,1,영업/정상,1,영업,,,,,051 4413385,266.32,600-811,부산광역시 중구 영주동 743-14,부산광역시 중구 중구로 158 (영주동),48923,지호텔,2025-05-16 14:08,U,2025-05-18 2:40,여관업,385549.5063,180779.8714,여관업,0,0,0,0,0,0,2,15,,,,임대,,,N
58,숙박업,03_11_03_P,3250000,3250000-214-2016-00002,2016-12-13,,1,영업/정상,1,영업,,,,,070 88483650,881,600-042,부산광역시 중구 남포동2가 36-22번지,부산광역시 중구 남포길 40-2 (남포동2가),48954,케이게스트하우스 남포,2019-10-21 10:07,U,2019-10-23 2:40,숙박업(생활),385312.3127,179550.9196,숙박업(생활),10,0,7,10,0,0,0,42,,,,임대,0,0,N
59,숙박업,03_11_03_P,3250000,3250000-201-1983-00132,1983-06-29,,1,영업/정상,1,영업,,,,,051 2457254,0,600-044,부산광역시 중구 남포동4가 39-12번지,부산광역시 중구 자갈치로 64-12 (남포동4가),48984,대성여인숙,2019-11-27 16:18,U,2019-11-29 2:40,여인숙업,385132.5833,179463.5549,여인숙업,0,0,0,0,0,0,13,0,,,,임대,,,N
60,숙박업,03_11_03_P,3250000,3250000-201-1989-00134,1989-10-25,,1,영업/정상,1,영업,,,,,051 2473334,384.28,600-809,부산광역시 중구 부평동3가 76-1,부산광역시 중구 흑교로35번길 7 (부평동3가),48975,금강장,2025-03-18 9:22,U,2025-03-20 2:40,여관업,384521.0364,180037.2505,여관업,0,0,0,0,0,0,6,10,,,,자가,0,0,N
61,숙박업,03_11_03_P,3250000,3250000-201-2002-00002,2002-01-09,,1,영업/정상,1,영업,,,,,051 243 8507,210,600-046,부산광역시 중구 남포동6가 35,부산광역시 중구 자갈치로 27-1 (남포동6가),48982,대광모텔,2025-05-08 13:42,U,2025-05-10 2:40,여관업,384780.2499,179424.926,여관업,0,0,0,0,0,0,2,15,,,,임대,,,N
62,숙박업,03_11_03_P,3250000,3250000-201-2017-00010,2017-12-15,,1,영업/정상,1,영업,,,,,051 464 8531,3128.85,600-092,부산광역시 중구 대청동2가 7-1,부산광역시 중구 대청로 107 (대청동2가),48933,넘버25시그니처호텔 대청점,2025-06-26 10:21,U,2025-06-28 2:40,관광호텔,385176.3441,180114.2972,관광호텔,6,2,1,6,0,0,0,60,,,,,0,0,N
63,숙박업,03_11_03_P,3250000,3250000-201-2006-00002,2006-10-18,,1,영업/정상,1,영업,,,,,051 2579882,2313.07,600-022,부산광역시 중구 동광동2가 17-26,"부산광역시 중구 중앙대로41번길 23, 1~9층 (동광동2가)",48951,아리아 호텔,2023-10-26 11:20,U,2023-10-28 2:40,일반호텔,385389.4095,179854.6555,일반호텔,9,1,1,9,0,0,0,50,,,,자가,,,N
64,숙박업,03_11_03_P,3250000,3250000-201-1971-00115,1971-05-22,,1,영업/정상,1,영업,,,,,051245 6657,135.39,600-044,부산광역시 중구 남포동4가 13-3번지,부산광역시 중구 자갈치로 65 (남포동4가),48984,대원장모텔,2019-11-04 10:36,U,2019-11-06 2:40,여관업,385159.1082,179505.9521,여관업,0,0,0,0,0,0,7,10,,,,임대,,,N
65,숙박업,03_11_03_P,3250000,3250000-201-2008-00002,2008-07-14,,1,영업/정상,1,영업,,,,,051242 0460,1551.34,600-046,부산광역시 중구 남포동6가 105-4 (1~8층),"부산광역시 중구 보수대로 8-5, 1~8층 (남포동6가)",48981,세븐호텔,2023-08-02 10:09,U,2023-08-04 2:40,여관업,384666.8925,179527.0923,여관업,8,0,1,8,0,0,0,38,,,,임대,0,0,N
